1901,1901 American League Team Review Hitting Statistics League Leaderboard,1901 American League Team Review Hitting Statistics League Leaderboard,1901 American League Team Review Hitting Statistics League Leaderboard
1905,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1906,1906 American League Team Review Hitting Statistics League Leaderboard,1906 American League Team Review Hitting Statistics League Leaderboard,1906 American League Team Review Hitting Statistics League Leaderboard
1906,Statistic,Team,#
1906,Base on Balls,Chicago,453
1906,Batting Average,Cleveland,.279
1906,Doubles,Cleveland,240
1906,Hits,Cleveland,1514
1906,Home Runs,Philadelphia,32
1906,On Base Percentage,Cleveland,.325
1906,Runs,Cleveland,663
1906,Slugging Average,Cleveland,.357
1906,Stolen Bases,Washington,233
1906,Triples,New York,77
1906,Statistic,Team,#
1906,1906 American League Team Review Pitching Statistics League Leaderboard,1906 American League Team Review Pitching Statistics League Leaderboard,1906 American League Team Review Pitching Statistics League Leaderboard
1906,Statistic,Team,#
1906,Complete Games,Cleveland,133
1906,Complete Games,St. Louis,133
1906,ERA,Cleveland,2.09
1906,Fewest Hits Allowed,St. Louis,1132
1906,Fewest Home Runs Allowed,Philadelphia,9
1906,Fewest Walks Allowed,Chicago,255
1906,Saves,Boston,6
1906,Shutouts,Chicago,32
1906,Strikeouts,Philadelphia,749
1906,Statistic,Team,#
1907,1907 American League Team Review Hitting Statistics League Leaderboard,1907 American League Team Review Hitting Statistics League Leaderboard,1907 American League Team Review Hitting Statistics League Leaderboard
1907,Statistic,Team,#
1907,Base on Balls,Chicago,421
1907,Batting Average,Detroit,.266
1907,Doubles,Philadelphia,220
1907,Hits,Detroit,1383
1907,Home Runs,Philadelphia,22
1907,On Base Percentage,Detroit,.313
1907,Runs,Detroit,694
1907,Slugging Average,Detroit,.335
1907,Stolen Bases,Washington,223
1907,Triples,Detroit,75
1907,Statistic,Team,#
1907,1907 American League Team Review Pitching Statistics League Leaderboard,1907 American League Team Review Pitching Statistics League Leaderboard,1907 American League Team Review Pitching Statistics League Leaderboard
1907,Statistic,Team,#
1907,Complete Games,St. Louis,129
1907,ERA,Chicago,2.22
1907,Fewest Hits Allowed,Philadelphia,1106
1907,Fewest Home Runs Allowed,Cleveland,8
1907,Fewest Home Runs Allowed,Detroit,8
1907,Fewest Walks Allowed,Chicago,305
1907,Saves,Chicago,9
1907,Saves,St. Louis,9
1907,Shutouts,Philadelphia,27
1907,Strikeouts,Philadelphia,789
1907,Statistic,Team,#
1908,1908 American League Team Review Hitting Statistics League Leaderboard,1908 American League Team Review Hitting Statistics League Leaderboard,1908 American League Team Review Hitting Statistics League Leaderboard
1908,Statistic,Team,#
1908,Base on Balls,Chicago,463
1908,Batting Average,Detroit,.263
1908,Doubles,Detroit,199
1908,Hits,Detroit,1347
1908,Home Runs,Philadelphia,21
1908,On Base Percentage,Detroit,.312
1908,Runs,Detroit,647
1908,Slugging Average,Detroit,.347
1908,Stolen Bases,New York,231
1908,Triples,Boston,88
1908,Statistic,Team,#
1908,1908 American League Team Review Pitching Statistics League Leaderboard,1908 American League Team Review Pitching Statistics League Leaderboard,1908 American League Team Review Pitching Statistics League Leaderboard
1908,Statistic,Team,#
1908,Complete Games,Detroit,119
1908,ERA,Cleveland,2.02
1908,Fewest Hits Allowed,St. Louis,1151
1908,Fewest Home Runs Allowed,St. Louis,7
1908,Fewest Walks Allowed,Chicago,284
1908,Saves,Chicago,10
1908,Shutouts,Chicago,23
1908,Shutouts,Philadelphia,23
1908,Strikeouts,Philadelphia,741
1908,Statistic,Team,#
1909,1909 American League Team Review Hitting Statistics League Leaderboard,1909 American League Team Review Hitting Statistics League Leaderboard,1909 American League Team Review Hitting Statistics League Leaderboard
1909,Statistic,Team,#
1909,Base on Balls,Chicago,441
1909,Batting Average,Detroit,.267
1909,Doubles,Detroit,209
1909,Hits,Detroit,1360
1909,Home Runs,Philadelphia,21
1909,On Base Percentage,Detroit,.325
1909,Runs,Detroit,666
1909,Slugging Average,Philadelphia,.343
1909,Stolen Bases,Detroit,280
1909,Triples,Philadelphia,88
1909,Statistic,Team,#
1909,1909 American League Team Review Pitching Statistics League Leaderboard,1909 American League Team Review Pitching Statistics League Leaderboard,1909 American League Team Review Pitching Statistics League Leaderboard
1909,Statistic,Team,#
1909,Complete Games,Detroit,117
1909,ERA,Philadelphia,1.93
1909,Fewest Hits Allowed,Philadelphia,1069
1909,Fewest Home Runs Allowed,Chicago,8
1909,Fewest Walks Allowed,Chicago,340
1909,Saves,Boston,15
1909,Shutouts,Philadelphia,27
1909,Strikeouts,Philadelphia,728
1909,Statistic,Team,#
1910,1910 American League Team Review Hitting Statistics League Leaderboard,1910 American League Team Review Hitting Statistics League Leaderboard,1910 American League Team Review Hitting Statistics League Leaderboard
1910,Statistic,Team,#
1910,Base on Balls,New York,464
1910,Batting Average,Philadelphia,.266
1910,Doubles,Philadelphia,191
1910,Hits,Philadelphia,1373
1910,Home Runs,Boston,43
1910,On Base Percentage,Detroit,.329
1910,Runs,Detroit,679
1910,Slugging Average,Philadelphia,.355
1910,Stolen Bases,New York,288
1910,Triples,Philadelphia,105
1910,Statistic,Team,#
1910,1910 American League Team Review Pitching Statistics League Leaderboard,1910 American League Team Review Pitching Statistics League Leaderboard,1910 American League Team Review Pitching Statistics League Leaderboard
1910,Statistic,Team,#
1910,Complete Games,Philadelphia,123
1910,ERA,Philadelphia,1.79
1910,Fewest Hits Allowed,Philadelphia,1103
1910,Fewest Home Runs Allowed,Philadelphia,8
1910,Fewest Walks Allowed,New York,364
1910,Saves,New York,8
1910,Shutouts,Philadelphia,24
1910,Strikeouts,Philadelphia,789
1910,Statistic,Team,#
1911,1911 American League Team Review Hitting Statistics League Leaderboard,1911 American League Team Review Hitting Statistics League Leaderboard,1911 American League Team Review Hitting Statistics League Leaderboard
1911,Statistic,Team,#
1911,Base on Balls,Boston,506
1911,Batting Average,Philadelphia,.296
1911,Doubles,Cleveland,238
1911,Hits,Detroit,1544
1911,Home Runs,Boston,35
1911,Home Runs,Philadelphia,35
1911,On Base Percentage,Philadelphia,.357
1911,Runs,Philadelphia,861
1911,Slugging Average,Philadelphia,.398
1911,Stolen Bases,Detroit,276
1911,Triples,Detroit,96
1911,Triples,New York,96
1911,Statistic,Team,#
1911,1911 American League Team Review Pitching Statistics League Leaderboard,1911 American League Team Review Pitching Statistics League Leaderboard,1911 American League Team Review Pitching Statistics League Leaderboard
1911,Statistic,Team,#
1911,Complete Games,Detroit,108
1911,ERA,Boston,2.74
1911,Fewest Hits Allowed,Boston,1309
1911,Fewest Home Runs Allowed,Cleveland,17
1911,Fewest Home Runs Allowed,Philadelphia,17
1911,Fewest Walks Allowed,Chicago,384
1911,Saves,Philadelphia,13
1911,Shutouts,Chicago,17
1911,Strikeouts,Chicago,752
1911,Statistic,Team,#
1912,1912 American League Team Review Hitting Statistics League Leaderboard,1912 American League Team Review Hitting Statistics League Leaderboard,1912 American League Team Review Hitting Statistics League Leaderboard
1912,Statistic,Team,#
1912,Base on Balls,Boston,565
1912,Batting Average,Philadelphia,.282
1912,Doubles,Boston,269
1912,Hits,Philadelphia,1442
1912,Home Runs,Boston,29
1912,On Base Percentage,Boston,.355
1912,Runs,Boston,799
1912,Slugging Average,Boston,.380
1912,Stolen Bases,Washington,274
1912,Triples,Philadelphia,108
1912,Statistic,Team,#
1912,1912 American League Team Review Pitching Statistics League Leaderboard,1912 American League Team Review Pitching Statistics League Leaderboard,1912 American League Team Review Pitching Statistics League Leaderboard
1912,Statistic,Team,#
1912,Complete Games,Boston,108
1912,ERA,Washington,2.69
1912,Fewest Hits Allowed,Washington,1219
1912,Fewest Home Runs Allowed,Philadelphia,12
1912,Fewest Walks Allowed,Boston,385
1912,Saves,Chicago,16
1912,Shutouts,Boston,18
1912,Strikeouts,Washington,828
1912,Statistic,Team,#
1913,1913 American League Team Review Hitting Statistics League Leaderboard,1913 American League Team Review Hitting Statistics League Leaderboard,1913 American League Team Review Hitting Statistics League Leaderboard
1913,Statistic,Team,#
1913,Base on Balls,New York,534
1913,Base on Balls,Philadelphia,534
1913,Batting Average,Philadelphia,.280
1913,Doubles,Philadelphia,223
1913,Hits,Philadelphia,1412
1913,Home Runs,Philadelphia,33
1913,On Base Percentage,Philadelphia,.356
1913,Runs,Philadelphia,794
1913,Slugging Average,Philadelphia,.375
1913,Stolen Bases,Washington,287
1913,Triples,Boston,101
1913,Triples,Detroit,101
1913,Statistic,Team,#
1913,1913 American League Team Review Pitching Statistics League Leaderboard,1913 American League Team Review Pitching Statistics League Leaderboard,1913 American League Team Review Pitching Statistics League Leaderboard
1913,Statistic,Team,#
1913,Complete Games,St. Louis,104
1913,ERA,Chicago,2.33
1913,Fewest Hits Allowed,Washington,1177
1913,Fewest Home Runs Allowed,Boston,6
1913,Fewest Walks Allowed,Chicago,438
1913,Saves,Philadelphia,22
1913,Shutouts,Washington,23
1913,Strikeouts,Washington,758
1913,Statistic,Team,#
1914,1914 American League Team Review Hitting Statistics League Leaderboard,1914 American League Team Review Hitting Statistics League Leaderboard,1914 American League Team Review Hitting Statistics League Leaderboard
1914,Statistic,Team,#
1914,Base on Balls,New York,577
1914,Batting Average,Philadelphia,.272
1914,Doubles,Boston,226
1914,Hits,Philadelphia,1392
1914,Home Runs,Philadelphia,29
1914,On Base Percentage,Philadelphia,.348
1914,Runs,Philadelphia,749
1914,Slugging Average,Philadelphia,.352
1914,Stolen Bases,New York,251
1914,Triples,Boston,85
1914,Statistic,Team,#
1914,1914 American League Team Review Pitching Statistics League Leaderboard,1914 American League Team Review Pitching Statistics League Leaderboard,1914 American League Team Review Pitching Statistics League Leaderboard
1914,Statistic,Team,#
1914,Complete Games,New York,98
1914,ERA,Boston,2.36
1914,Fewest Hits Allowed,Washington,1170
1914,Fewest Home Runs Allowed,Cleveland,10
1914,Fewest Walks Allowed,New York,390
1914,Saves,Washington,20
1914,Shutouts,Washington,25
1914,Strikeouts,Washington,784
1914,Statistic,Team,#
1915,1915 American League Team Review Hitting Statistics League Leaderboard,1915 American League Team Review Hitting Statistics League Leaderboard,1915 American League Team Review Hitting Statistics League Leaderboard
1915,Statistic,Team,#
1915,Base on Balls,Detroit,681
1915,Batting Average,Detroit,.268
1915,Doubles,Detroit,207
1915,Hits,Detroit,1372
1915,Home Runs,New York,31
1915,On Base Percentage,Detroit,.357
1915,Runs,Detroit,778
1915,Slugging Average,Detroit,.358
1915,Stolen Bases,Detroit,241
1915,Triples,Chicago,102
1915,Statistic,Team,#
1915,1915 American League Team Review Pitching Statistics League Leaderboard,1915 American League Team Review Pitching Statistics League Leaderboard,1915 American League Team Review Pitching Statistics League Leaderboard
1915,Statistic,Team,#
1915,Complete Games,New York,101
1915,ERA,Washington,2.31
1915,Fewest Hits Allowed,Washington,1161
1915,Fewest Home Runs Allowed,Washington,12
1915,Fewest Walks Allowed,Chicago,350
1915,Saves,Detroit,20
1915,Shutouts,Washington,21
1915,Strikeouts,Washington,715
1915,Statistic,Team,#
1916,1916 American League Team Review Hitting Statistics League Leaderboard,1916 American League Team Review Hitting Statistics League Leaderboard,1916 American League Team Review Hitting Statistics League Leaderboard
1916,Statistic,Team,#
1916,Base on Balls,St. Louis,626
1916,Batting Average,Detroit,.264
1916,Doubles,Cleveland,233
1916,Hits,Detroit,1371
1916,Home Runs,New York,35
1916,On Base Percentage,Detroit,.337
1916,Runs,Detroit,673
1916,Slugging Average,Detroit,.350
1916,Stolen Bases,St. Louis,234
1916,Triples,Chicago,100
1916,Statistic,Team,#
1916,1916 American League Team Review Pitching Statistics League Leaderboard,1916 American League Team Review Pitching Statistics League Leaderboard,1916 American League Team Review Pitching Statistics League Leaderboard
1916,Statistic,Team,#
1916,Complete Games,Philadelphia,94
1916,ERA,Chicago,2.36
1916,Fewest Hits Allowed,Chicago,1189
1916,Fewest Home Runs Allowed,Boston,10
1916,Fewest Walks Allowed,Chicago,405
1916,Saves,New York,17
1916,Shutouts,Boston,24
1916,Strikeouts,Washington,706
1916,Statistic,Team,#
1917,1917 American League Team Review Hitting Statistics League Leaderboard,1917 American League Team Review Hitting Statistics League Leaderboard,1917 American League Team Review Hitting Statistics League Leaderboard
1917,Statistic,Team,#
1917,Base on Balls,Cleveland,549
1917,Batting Average,Detroit,.259
1917,Doubles,Cleveland,218
1917,Hits,Detroit,1317
1917,Home Runs,New York,27
1917,On Base Percentage,Chicago,.329
1917,Runs,Chicago,656
1917,Slugging Average,Detroit,.344
1917,Stolen Bases,Chicago,219
1917,Triples,Chicago,81
1917,Statistic,Team,#
1917,1917 American League Team Review Pitching Statistics League Leaderboard,1917 American League Team Review Pitching Statistics League Leaderboard,1917 American League Team Review Pitching Statistics League Leaderboard
1917,Statistic,Team,#
1917,Complete Games,Boston,115
1917,ERA,Chicago,2.16
1917,Fewest Hits Allowed,Boston,1197
1917,Fewest Home Runs Allowed,Chicago,10
1917,Fewest Walks Allowed,Boston,413
1917,Fewest Walks Allowed,Chicago,413
1917,Saves,Cleveland,22
1917,Shutouts,Chicago,22
1917,Strikeouts,Washington,637
1917,Statistic,Team,#
1918,1918 American League Team Review Hitting Statistics League Leaderboard,1918 American League Team Review Hitting Statistics League Leaderboard,1918 American League Team Review Hitting Statistics League Leaderboard
1918,Statistic,Team,#
1918,Base on Balls,Cleveland,491
1918,Batting Average,Cleveland,.260
1918,Doubles,Cleveland,176
1918,Hits,Washington,1144
1918,Home Runs,Philadelphia,22
1918,On Base Percentage,Cleveland,.344
1918,Runs,Cleveland,504
1918,Slugging Average,Cleveland,.341
1918,Stolen Bases,Cleveland,165
1918,Triples,Cleveland,67
1918,Statistic,Team,#
1918,1918 American League Team Review Pitching Statistics League Leaderboard,1918 American League Team Review Pitching Statistics League Leaderboard,1918 American League Team Review Pitching Statistics League Leaderboard
1918,Statistic,Team,#
1918,Complete Games,Boston,105
1918,ERA,Washington,2.14
1918,Fewest Hits Allowed,Boston,931
1918,Fewest Home Runs Allowed,Boston,9
1918,Fewest Home Runs Allowed,Chicago,9
1918,Fewest Home Runs Allowed,Cleveland,9
1918,Fewest Walks Allowed,Chicago,300
1918,Saves,Cleveland,13
1918,Saves,New York,13
1918,Shutouts,Boston,26
1918,Strikeouts,Washington,505
1918,Statistic,Team,#
1919,1919 American League Team Review Hitting Statistics League Leaderboard,1919 American League Team Review Hitting Statistics League Leaderboard,1919 American League Team Review Hitting Statistics League Leaderboard
1919,Statistic,Team,#
1919,Base on Balls,Cleveland,498
1919,Batting Average,Chicago,.287
1919,Doubles,Cleveland,254
1919,Hits,Chicago,1343
1919,Home Runs,New York,45
1919,On Base Percentage,Cleveland,.354
1919,Runs,Chicago,667
1919,Slugging Average,Cleveland,.381
1919,Stolen Bases,Chicago,150
1919,Triples,Detroit,84
1919,Statistic,Team,#
1919,1919 American League Team Review Pitching Statistics League Leaderboard,1919 American League Team Review Pitching Statistics League Leaderboard,1919 American League Team Review Pitching Statistics League Leaderboard
1919,Statistic,Team,#
1919,Complete Games,Boston,89
1919,ERA,New York,2.82
1919,Fewest Hits Allowed,New York,1143
1919,Fewest Home Runs Allowed,Boston,16
1919,Fewest Walks Allowed,Chicago,342
1919,Saves,Cleveland,10
1919,Saves,Washington,10
1919,Shutouts,Boston,15
1919,Strikeouts,Washington,536
1919,Statistic,Team,#
1920,1920 American League Team Review Hitting Statistics League Leaderboard,1920 American League Team Review Hitting Statistics League Leaderboard,1920 American League Team Review Hitting Statistics League Leaderboard
1920,Statistic,Team,#
1920,Base on Balls,Cleveland,574
1920,Batting Average,St. Louis,.308
1920,Doubles,Cleveland,301
1920,Hits,St. Louis,1650
1920,Home Runs,New York,115
1920,On Base Percentage,Cleveland,.376
1920,Runs,Cleveland,856
1920,Slugging Average,New York,.426
1920,Stolen Bases,Washington,160
1920,Triples,Chicago,98
1920,Statistic,Team,#
1920,1920 American League Team Review Pitching Statistics League Leaderboard,1920 American League Team Review Pitching Statistics League Leaderboard,1920 American League Team Review Pitching Statistics League Leaderboard
1920,Statistic,Team,#
1920,Complete Games,Chicago,109
1920,ERA,New York,3.32
1920,Fewest Hits Allowed,New York,1414
1920,Fewest Home Runs Allowed,Cleveland,31
1920,Fewest Walks Allowed,Cleveland,401
1920,Saves,St. Louis,14
1920,Shutouts,New York,15
1920,Strikeouts,Detroit,483
1920,Statistic,Team,#
1921,1921 American League Team Review Hitting Statistics League Leaderboard,1921 American League Team Review Hitting Statistics League Leaderboard,1921 American League Team Review Hitting Statistics League Leaderboard
1921,Statistic,Team,#
1921,Base on Balls,Cleveland,619
1921,Batting Average,Detroit,.316
1921,Doubles,Cleveland,355
1921,Hits,Detroit,1723
1921,Home Runs,New York,134
1921,On Base Percentage,Detroit,.385
1921,Runs,New York,948
1921,Slugging Average,New York,.464
1921,Stolen Bases,Washington,112
1921,Triples,St. Louis,105
1921,Statistic,Team,#
1921,1921 American League Team Review Pitching Statistics League Leaderboard,1921 American League Team Review Pitching Statistics League Leaderboard,1921 American League Team Review Pitching Statistics League Leaderboard
1921,Statistic,Team,#
1921,Complete Games,New York,92
1921,ERA,New York,3.82
1921,Fewest Hits Allowed,New York,1461
1921,Fewest Home Runs Allowed,Cleveland,43
1921,Fewest Walks Allowed,Cleveland,431
1921,Saves,Detroit,17
1921,Shutouts,Cleveland,11
1921,Strikeouts,New York,481
1921,Statistic,Team,#
1922,1922 American League Team Review Hitting Statistics League Leaderboard,1922 American League Team Review Hitting Statistics League Leaderboard,1922 American League Team Review Hitting Statistics League Leaderboard
1922,Statistic,Team,#
1922,Base on Balls,Cleveland,550
1922,Batting Average,St. Louis,.310
1922,Doubles,Cleveland,320
1922,Hits,St. Louis,1684
1922,Home Runs,Philadelphia,111
1922,On Base Percentage,Detroit,.373
1922,Runs,St. Louis,867
1922,Slugging Average,St. Louis,.453
1922,Stolen Bases,St. Louis,136
1922,Triples,St. Louis,94
1922,Statistic,Team,#
1922,1922 American League Team Review Pitching Statistics League Leaderboard,1922 American League Team Review Pitching Statistics League Leaderboard,1922 American League Team Review Pitching Statistics League Leaderboard
1922,Statistic,Team,#
1922,Complete Games,New York,100
1922,ERA,St. Louis,3.38
1922,Fewest Hits Allowed,New York,1402
1922,Fewest Home Runs Allowed,Boston,48
1922,Fewest Walks Allowed,St. Louis,419
1922,Saves,St. Louis,22
1922,Shutouts,Cleveland,14
1922,Strikeouts,St. Louis,534
1922,Statistic,Team,#
1923,1923 American League Team Review  Hitting Statistics League Leaderboard,1923 American League Team Review  Hitting Statistics League Leaderboard,1923 American League Team Review  Hitting Statistics League Leaderboard
1923,Statistic,Team,#
1923,Base on Balls,Cleveland,633
1923,Batting Average,Cleveland,.301
1923,Doubles,Cleveland,301
1923,Hits,Cleveland,1594
1923,Home Runs,New York,105
1923,On Base Percentage,Cleveland,.381
1923,Runs,Cleveland,888
1923,Slugging Average,New York,.422
1923,Stolen Bases,Chicago,191
1923,Triples,Washington,93
1923,1923 American League Team Review  Pitching Statistics League Leaderboard,1923 American League Team Review  Pitching Statistics League Leaderboard,1923 American League Team Review  Pitching Statistics League Leaderboard
1923,Statistic,Team,#
1923,Complete Games,New York,101
1923,ERA,New York,3.63
1923,Fewest Hits Allowed,New York,1365
1923,Fewest Home Runs Allowed,Cleveland,36
1923,Fewest Walks Allowed,Detroit,449
1923,Saves,Washington,16
1923,Shutouts,Cleveland,10
1923,Shutouts,St. Louis,10
1923,Strikeouts,New York,506
1923,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1924,1924 American League Team Review  Hitting Statistics League Leaderboard,1924 American League Team Review  Hitting Statistics League Leaderboard,1924 American League Team Review  Hitting Statistics League Leaderboard
1924,Statistic,Team,#
1924,Base on Balls,Detroit,607
1924,Batting Average,Detroit,.298
1924,Doubles,Detroit,315
1924,Hits,Detroit,1604
1924,Home Runs,New York,98
1924,On Base Percentage,Detroit,.373
1924,Runs,Detroit,849
1924,Slugging Average,New York,.426
1924,Stolen Bases,Chicago,137
1924,Triples,Washington,88
1924,1924 American League Team Review  Pitching Statistics League Leaderboard,1924 American League Team Review  Pitching Statistics League Leaderboard,1924 American League Team Review  Pitching Statistics League Leaderboard
1924,Statistic,Team,#
1924,Complete Games,Cleveland,87
1924,ERA,Washington,3.35
1924,Fewest Hits Allowed,Washington,1329
1924,Fewest Home Runs Allowed,Washington,34
1924,Fewest Walks Allowed,Detroit,467
1924,Saves,Washington,25
1924,Shutouts,New York,13
1924,Shutouts,Washington,13
1924,Strikeouts,New York,487
1924,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List,Seasonal Events: All-Star Game | World Series Navigation: Year in Review Menu | Previous Season | Next Season Miscellaneous: N.L. Leaderboard Retirements | Rookies List
1925,1925 American League Team Review  Hitting Statistics League Leaderboard,1925 American League Team Review  Hitting Statistics League Leaderboard,1925 American League Team Review  Hitting Statistics League Leaderboard
1925,Statistic,Team,#
1925,Base on Balls,Chicago,662
1925,Batting Average,Philadelphia,.307
1925,Doubles,St. Louis,304
1925,Hits,Philadelphia,1659
1925,Home Runs,New York,110
1925,Home Runs,St. Louis,110
1925,On Base Percentage,Detroit,.379
1925,Runs,Detroit,903
1925,Slugging Average,St. Louis,.439
1925,Stolen Bases,Washington,135
1925,Triples,Detroit,84
1925,1925 American League Team Review  Pitching Statistics League Leaderboard,1925 American League Team Review  Pitching Statistics League Leaderboard,1925 American League Team Review  Pitching Statistics League Leaderboard
1925,Statistic,Team,#
1925,Complete Games,Cleveland,93
1925,ERA,Washington,3.70
1925,Fewest Hits Allowed,Washington,1434
