1901,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →,1901 American League Player Review 1901 Hitting Statistics League Leaderboards | 1902 →
1905,Doubles,Harry Davis,Philadelphia,47,Top 25
1905,Hits,George Stone,St. Louis,187,Top 25
1905,Home Runs,Harry Davis,Philadelphia,8,Top 25
1905,On Base Percentage,Topsy Hartsel,Philadelphia,.409,Top 25
1905,RBI,Harry Davis,Philadelphia,83,Top 25
1905,Runs,Harry Davis,Philadelphia,93,Top 25
1905,Slugging Average,Elmer Flick,Cleveland,.462,Top 25
1905,Stolen Bases,Danny Hoffman,Philadelphia,46,Top 25
1905,Total Bases,George Stone,St. Louis,259,Top 25
1905,Triples,Elmer Flick,Cleveland,18,Top 25
1905,Statistic,Name(s),Team(s),#,Top 25
1906,1906 American League Player Review ← 1905 | 1906 Hitting Statistics League Leaders | 1907 →,1906 American League Player Review ← 1905 | 1906 Hitting Statistics League Leaders | 1907 →,1906 American League Player Review ← 1905 | 1906 Hitting Statistics League Leaders | 1907 →,1906 American League Player Review ← 1905 | 1906 Hitting Statistics League Leaders | 1907 →,1906 American League Player Review ← 1905 | 1906 Hitting Statistics League Leaders | 1907 →
1906,Statistic,Name(s),Team(s),#,Top 25
1906,Base on Balls,Topsy Hartsel,Philadelphia,88,Top 25
1906,Batting Average,George Stone,St. Louis,.358,Top 25
1906,Doubles,Nap Lajoie,Cleveland,48,Top 25
1906,Hits,Nap Lajoie,Cleveland,214,Top 25
1906,Home Runs,Harry Davis,Philadelphia,12,Top 25
1906,On Base Percentage,George Stone,St. Louis,.417,Top 25
1906,RBI,Harry Davis,Philadelphia,96,Top 25
1906,Runs,Elmer Flick,Cleveland,98,Top 25
1906,Slugging Average,George Stone,St. Louis,.501,Top 25
1906,Stolen Bases,John Anderson,Washington,39,Top 25
1906,Stolen Bases,Elmer Flick,Cleveland,39,Top 25
1906,Total Bases,George Stone,St. Louis,291,Top 25
1906,Triples,Elmer Flick,Cleveland,22,Top 25
1906,Statistic,Name(s),Team(s),#,Top 25
1906,1906 A.L. History | 1906 N.L. History | Year-by-Year History,1906 A.L. History | 1906 N.L. History | Year-by-Year History,1906 A.L. History | 1906 N.L. History | Year-by-Year History,1906 A.L. History | 1906 N.L. History | Year-by-Year History,1906 A.L. History | 1906 N.L. History | Year-by-Year History
1907,1907 American League Player Review ← 1906 | 1907 Hitting Statistics League Leaders | 1908 →,1907 American League Player Review ← 1906 | 1907 Hitting Statistics League Leaders | 1908 →,1907 American League Player Review ← 1906 | 1907 Hitting Statistics League Leaders | 1908 →,1907 American League Player Review ← 1906 | 1907 Hitting Statistics League Leaders | 1908 →,1907 American League Player Review ← 1906 | 1907 Hitting Statistics League Leaders | 1908 →
1907,Statistic,Name(s),Team(s),#,Top 25
1907,Base on Balls,Topsy Hartsel,Philadelphia,106,Top 25
1907,Batting Average,Ty Cobb,Detroit,.350,Top 25
1907,Doubles,Harry Davis,Philadelphia,35,Top 25
1907,Hits,Ty Cobb,Detroit,212,Top 25
1907,Home Runs,Harry Davis,Philadelphia,8,Top 25
1907,On Base Percentage,Topsy Hartsel,Philadelphia,.405,Top 25
1907,RBI,Ty Cobb,Detroit,119,Top 25
1907,Runs,Sam Crawford,Detroit,102,Top 25
1907,Slugging Average,Ty Cobb,Detroit,.468,Top 25
1907,Stolen Bases,Ty Cobb,Detroit,49,Top 25
1907,Total Bases,Ty Cobb,Detroit,283,Top 25
1907,Triples,Elmer Flick,Cleveland,18,Top 25
1907,Statistic,Name(s),Team(s),#,Top 25
1907,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1907 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1908,1908 American League Player Review ← 1907 | 1908 Hitting Statistics League Leaders | 1909 →,1908 American League Player Review ← 1907 | 1908 Hitting Statistics League Leaders | 1909 →,1908 American League Player Review ← 1907 | 1908 Hitting Statistics League Leaders | 1909 →,1908 American League Player Review ← 1907 | 1908 Hitting Statistics League Leaders | 1909 →,1908 American League Player Review ← 1907 | 1908 Hitting Statistics League Leaders | 1909 →
1908,Statistic,Name(s),Team(s),#,Top 25
1908,Base on Balls,Topsy Hartsel,Philadelphia,93,Top 25
1908,Batting Average,Ty Cobb,Detroit,.324,Top 25
1908,Doubles,Ty Cobb,Detroit,36,Top 25
1908,Hits,Ty Cobb,Detroit,188,Top 25
1908,Home Runs,Sam Crawford,Detroit,7,Top 25
1908,On Base Percentage,Doc Gessler,Boston,.394,Top 25
1908,RBI,Ty Cobb,Detroit,108,Top 25
1908,Runs,Matty McIntyre,Detroit,105,Top 25
1908,Slugging Average,Ty Cobb,Detroit,.476,Top 25
1908,Stolen Bases,Patsy Dougherty,Chicago,47,Top 25
1908,Total Bases,Ty Cobb,Detroit,276,Top 25
1908,Triples,Ty Cobb,Detroit,20,Top 25
1908,Statistic,Name(s),Team(s),#,Top 25
1908,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1908 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1909,1909 American League Player Review ← 1908 | 1909 Hitting Statistics League Leaders | 1910 →,1909 American League Player Review ← 1908 | 1909 Hitting Statistics League Leaders | 1910 →,1909 American League Player Review ← 1908 | 1909 Hitting Statistics League Leaders | 1910 →,1909 American League Player Review ← 1908 | 1909 Hitting Statistics League Leaders | 1910 →,1909 American League Player Review ← 1908 | 1909 Hitting Statistics League Leaders | 1910 →
1909,Statistic,Name(s),Team(s),#,Top 25
1909,Base on Balls,Donie Bush,Detroit,88,Top 25
1909,Batting Average,Ty Cobb,Detroit,.377,Top 25
1909,Doubles,Sam Crawford,Detroit,35,Top 25
1909,Hits,Ty Cobb,Detroit,216,Top 25
1909,Home Runs,Ty Cobb,Detroit,9,Top 25
1909,On Base Percentage,Ty Cobb,Detroit,.431,Top 25
1909,RBI,Ty Cobb,Detroit,107,Top 25
1909,Runs,Ty Cobb,Detroit,116,Top 25
1909,Slugging Average,Ty Cobb,Detroit,.517,Top 25
1909,Stolen Bases,Ty Cobb,Detroit,76,Top 25
1909,Total Bases,Ty Cobb,Detroit,296,Top 25
1909,Triples,Frank Baker,Philadelphia,19,Top 25
1909,Statistic,Name(s),Team(s),#,Top 25
1909,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1909 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1910,1910 American League Player Review ← 1909 | 1910 Hitting Statistics League Leaders | 1911 →,1910 American League Player Review ← 1909 | 1910 Hitting Statistics League Leaders | 1911 →,1910 American League Player Review ← 1909 | 1910 Hitting Statistics League Leaders | 1911 →,1910 American League Player Review ← 1909 | 1910 Hitting Statistics League Leaders | 1911 →,1910 American League Player Review ← 1909 | 1910 Hitting Statistics League Leaders | 1911 →
1910,Statistic,Name(s),Team(s),#,Top 25
1910,Base on Balls,Donie Bush,Detroit,78,Top 25
1910,Batting Average *,Nap Lajoie,Detroit,.384,Top 25
1910,Doubles,Nap Lajoie,Cleveland,51,Top 25
1910,Hits,Nap Lajoie,Cleveland,227,Top 25
1910,Home Runs,Jake Stahl,Boston,10,Top 25
1910,On Base Percentage,Ty Cobb,Detroit,.455,Top 25
1910,RBI,Sam Crawford,Detroit,120,Top 25
1910,Runs,Ty Cobb,Detroit,106,Top 25
1910,Slugging Average,Ty Cobb,Detroit,.549,Top 25
1910,Stolen Bases,Eddie Collins,Philadelphia,81,Top 25
1910,Total Bases,Nap Lajoie,Cleveland,304,Top 25
1910,Triples,Sam Crawford,Detroit,19,Top 25
1910,Statistic,Name(s),Team(s),#,Top 25
1910,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1910 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1911,1911 American League Player Review ← 1910 | 1911 Hitting Statistics League Leaders | 1912 →,1911 American League Player Review ← 1910 | 1911 Hitting Statistics League Leaders | 1912 →,1911 American League Player Review ← 1910 | 1911 Hitting Statistics League Leaders | 1912 →,1911 American League Player Review ← 1910 | 1911 Hitting Statistics League Leaders | 1912 →,1911 American League Player Review ← 1910 | 1911 Hitting Statistics League Leaders | 1912 →
1911,Statistic,Name(s),Team(s),#,Top 25
1911,Base on Balls,Donie Bush,Detroit,98,Top 25
1911,Batting Average,Ty Cobb,Detroit,.419,Top 25
1911,Doubles,Ty Cobb,Detroit,47,Top 25
1911,Hits,Ty Cobb,Detroit,248,Top 25
1911,Home Runs,Frank Baker,Philadelphia,11,Top 25
1911,On Base Percentage,Joe Jackson,Cleveland,.468,Top 25
1911,RBI,Ty Cobb,Detroit,127,Top 25
1911,Runs,Ty Cobb,Detroit,147,Top 25
1911,Slugging Average,Ty Cobb,Detroit,.620,Top 25
1911,Stolen Bases,Ty Cobb,Detroit,83,Top 25
1911,Total Bases,Ty Cobb,Detroit,367,Top 25
1911,Triples,Ty Cobb,Detroit,24,Top 25
1911,Statistic,Name(s),Team(s),#,Top 25
1911,1911 A.L. History | 1911 N.L. History | Year-by-Year History,1911 A.L. History | 1911 N.L. History | Year-by-Year History,1911 A.L. History | 1911 N.L. History | Year-by-Year History,1911 A.L. History | 1911 N.L. History | Year-by-Year History,1911 A.L. History | 1911 N.L. History | Year-by-Year History
1912,1912 American League Player Review ← 1911 | 1912 Hitting Statistics League Leaders | 1913 →,1912 American League Player Review ← 1911 | 1912 Hitting Statistics League Leaders | 1913 →,1912 American League Player Review ← 1911 | 1912 Hitting Statistics League Leaders | 1913 →,1912 American League Player Review ← 1911 | 1912 Hitting Statistics League Leaders | 1913 →,1912 American League Player Review ← 1911 | 1912 Hitting Statistics League Leaders | 1913 →
1912,Statistic,Name(s),Team(s),#,Top 25
1912,Base on Balls,Donie Bush,Detroit,117,Top 25
1912,Batting Average,Ty Cobb,Detroit,.409,Top 25
1912,Doubles,Tris Speaker,Boston,53,Top 25
1912,Hits,Ty Cobb,Detroit,226,Top 25
1912,Hits,Joe Jackson,Cleveland,226,Top 25
1912,Home Runs,Frank Baker,Philadelphia,10,Top 25
1912,Home Runs,Tris Speaker,Boston,10,Top 25
1912,On Base Percentage,Tris Speaker,Boston,.464,Top 25
1912,RBI,Frank Baker,Philadelphia,130,Top 25
1912,Runs,Eddie Collins,Philadelphia,137,Top 25
1912,Slugging Average,Ty Cobb,Detroit,.584,Top 25
1912,Stolen Bases,Clyde Milan,Washington,88,Top 25
1912,Total Bases,Joe Jackson,Cleveland,331,Top 25
1912,Triples,Joe Jackson,Cleveland,26,Top 25
1912,Statistic,Name(s),Team(s),#,Top 25
1912,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1912 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1913,1913 American League Player Review ← 1912 | 1913 Hitting Statistics League Leaders | 1914 →,1913 American League Player Review ← 1912 | 1913 Hitting Statistics League Leaders | 1914 →,1913 American League Player Review ← 1912 | 1913 Hitting Statistics League Leaders | 1914 →,1913 American League Player Review ← 1912 | 1913 Hitting Statistics League Leaders | 1914 →,1913 American League Player Review ← 1912 | 1913 Hitting Statistics League Leaders | 1914 →
1913,Statistic,Name(s),Team(s),#,Top 25
1913,Base on Balls,Burt Shotton,St. Louis,99,Top 25
1913,Batting Average,Ty Cobb,Detroit,.389,Top 25
1913,Doubles,Joe Jackson,Cleveland,39,Top 25
1913,Hits,Joe Jackson,Cleveland,197,Top 25
1913,Home Runs,Frank Baker,Philadelphia,12,Top 25
1913,On Base Percentage,Ty Cobb,Detroit,.466,Top 25
1913,RBI,Frank Baker,Philadelphia,117,Top 25
1913,Runs,Eddie Collins,Philadelphia,125,Top 25
1913,Slugging Average,Joe Jackson,Cleveland,.551,Top 25
1913,Stolen Bases,Clyde Milan,Washington,75,Top 25
1913,Total Bases,Sam Crawford,Detroit,298,Top 25
1913,Triples,Sam Crawford,Detroit,23,Top 25
1913,Statistic,Name(s),Team(s),#,Top 25
1913,1913 A.L. History | 1913 N.L. History | Year-by-Year History,1913 A.L. History | 1913 N.L. History | Year-by-Year History,1913 A.L. History | 1913 N.L. History | Year-by-Year History,1913 A.L. History | 1913 N.L. History | Year-by-Year History,1913 A.L. History | 1913 N.L. History | Year-by-Year History
1914,1914 American League Player Review ← 1913 | 1914 Hitting Statistics League Leaders | 1915 →,1914 American League Player Review ← 1913 | 1914 Hitting Statistics League Leaders | 1915 →,1914 American League Player Review ← 1913 | 1914 Hitting Statistics League Leaders | 1915 →,1914 American League Player Review ← 1913 | 1914 Hitting Statistics League Leaders | 1915 →,1914 American League Player Review ← 1913 | 1914 Hitting Statistics League Leaders | 1915 →
1914,Statistic,Name(s),Team(s),#,Top 25
1914,Base on Balls,Donie Bush,Detroit,112,Top 25
1914,Batting Average,Ty Cobb *,Detroit,.368,Top 25
1914,Doubles,Tris Speaker,Boston,46,Top 25
1914,Hits,Tris Speaker,Boston,193,Top 25
1914,Home Runs,Frank Baker,Philadelphia,9,Top 25
1914,On Base Percentage,Eddie Collins,Philadelphia,.452,Top 25
1914,RBI,Sam Crawford,Detroit,104,Top 25
1914,Runs,Eddie Collins,Philadelphia,122,Top 25
1914,Slugging Average,Tris Speaker,Boston,.503,Top 25
1914,Stolen Bases,Fritz Maisel,New York,74,Top 25
1914,Total Bases,Tris Speaker,Boston,287,Top 25
1914,Triples,Sam Crawford,Detroit,26,Top 25
1914,Statistic,Name(s),Team(s),#,Top 25
1914,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1914 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1915,1915 American League Player Review ← 1914 | 1915 Hitting Statistics League Leaders | 1916 →,1915 American League Player Review ← 1914 | 1915 Hitting Statistics League Leaders | 1916 →,1915 American League Player Review ← 1914 | 1915 Hitting Statistics League Leaders | 1916 →,1915 American League Player Review ← 1914 | 1915 Hitting Statistics League Leaders | 1916 →,1915 American League Player Review ← 1914 | 1915 Hitting Statistics League Leaders | 1916 →
1915,Statistic,Name(s),Team(s),#,Top 25
1915,Base on Balls,Eddie Collins,Chicago,119,Top 25
1915,Batting Average,Ty Cobb,Detroit,.369,Top 25
1915,Doubles,Bobby Veach,Detroit,40,Top 25
1915,Hits,Ty Cobb,Detroit,208,Top 25
1915,Home Runs,Braggo Roth,Chicago,7,Top 25
1915,Home Runs,Braggo Roth,Cleveland,7,Top 25
1915,On Base Percentage,Ty Cobb,Detroit,.486,Top 25
1915,RBI,Sam Crawford,Detroit,112,Top 25
1915,RBI,Bobby Veach,Detroit,112,Top 25
1915,Runs,Ty Cobb,Detroit,144,Top 25
1915,Slugging Average,Jack Fournier,Chicago,.491,Top 25
1915,Stolen Bases,Ty Cobb,Detroit,96,Top 25
1915,Total Bases,Ty Cobb,Detroit,274,Top 25
1915,Triples,Sam Crawford,Detroit,19,Top 25
1915,Statistic,Name(s),Team(s),#,Top 25
1915,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1915 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1916,1916 American League Player Review ← 1915 | 1916 Hitting Statistics League Leaders | 1917 →,1916 American League Player Review ← 1915 | 1916 Hitting Statistics League Leaders | 1917 →,1916 American League Player Review ← 1915 | 1916 Hitting Statistics League Leaders | 1917 →,1916 American League Player Review ← 1915 | 1916 Hitting Statistics League Leaders | 1917 →,1916 American League Player Review ← 1915 | 1916 Hitting Statistics League Leaders | 1917 →
1916,Statistic,Name(s),Team(s),#,Top 25
1916,Base on Balls,Burt Shotton,St. Louis,110,Top 25
1916,Batting Average,Tris Speaker,Cleveland,.386,Top 25
1916,Doubles,Jack Graney,Cleveland,41,Top 25
1916,Doubles,Tris Speaker,Cleveland,41,Top 25
1916,Hits,Tris Speaker,Cleveland,211,Top 25
1916,Home Runs,Wally Pipp,New York,12,Top 25
1916,On Base Percentage,Tris Speaker,Cleveland,.470,Top 25
1916,RBI,Del Pratt,St. Louis,103,Top 25
1916,Runs,Ty Cobb,Detroit,113,Top 25
1916,Slugging Average,Tris Speaker,Cleveland,.502,Top 25
1916,Stolen Bases,Ty Cobb,Detroit,68,Top 25
1916,Total Bases,Joe Jackson,Chicago,293,Top 25
1916,Triples,Joe Jackson,Chicago,21,Top 25
1916,Statistic,Name(s),Team(s),#,Top 25
1916,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1916 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1917,1917 American League Player Review ← 1916 | 1917 Hitting Statistics League Leaders | 1918 →,1917 American League Player Review ← 1916 | 1917 Hitting Statistics League Leaders | 1918 →,1917 American League Player Review ← 1916 | 1917 Hitting Statistics League Leaders | 1918 →,1917 American League Player Review ← 1916 | 1917 Hitting Statistics League Leaders | 1918 →,1917 American League Player Review ← 1916 | 1917 Hitting Statistics League Leaders | 1918 →
1917,Statistic,Name(s),Team(s),#,Top 25
1917,Base on Balls,Jack Graney,Cleveland,94,Top 25
1917,Batting Average,Ty Cobb,Detroit,.383,Top 25
1917,Doubles,Ty Cobb,Detroit,44,Top 25
1917,Hits,Ty Cobb,Detroit,225,Top 25
1917,Home Runs,Wally Pipp,New York,9,Top 25
1917,On Base Percentage,Ty Cobb,Detroit,.444,Top 25
1917,RBI,Bobby Veach,Detroit,103,Top 25
1917,Runs,Donie Bush,Detroit,112,Top 25
1917,Slugging Average,Ty Cobb,Detroit,.570,Top 25
1917,Stolen Bases,Ty Cobb,Detroit,55,Top 25
1917,Total Bases,Ty Cobb,Detroit,335,Top 25
1917,Triples,Ty Cobb,Detroit,24,Top 25
1917,Statistic,Name(s),Team(s),#,Top 25
1917,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year,1917 N.L. | A.L. Retirements | A.L. Rookies | Year-by-Year
1918,1918 American League Player Review ← 1917 | 1918 Hitting Statistics League Leaders | 1919 →,1918 American League Player Review ← 1917 | 1918 Hitting Statistics League Leaders | 1919 →,1918 American League Player Review ← 1917 | 1918 Hitting Statistics League Leaders | 1919 →,1918 American League Player Review ← 1917 | 1918 Hitting Statistics League Leaders | 1919 →,1918 American League Player Review ← 1917 | 1918 Hitting Statistics League Leaders | 1919 →
1918,Statistic,Name(s),Team(s),#,Top 25
1918,Base on Balls,Ray Chapman,Cleveland,84,Top 25
1918,Batting Average,Ty Cobb,Detroit,.382,Top 25
1918,Doubles,Tris Speaker,Cleveland,33,Top 25
1918,Hits,George Burns,Philadelphia,178,Top 25
1918,Home Runs,Babe Ruth,Boston,11,Top 25
1918,Home Runs,Tilly Walker,Philadelphia,11,Top 25
1918,On Base Percentage,Ty Cobb,Detroit,.440,Top 25
1918,RBI,Bobby Veach,Detroit,78,Top 25
1918,Runs,Ray Chapman,Cleveland,84,Top 25
1918,Slugging Average,Babe Ruth,Boston,.555,Top 25
1918,Stolen Bases,George Sisler,St. Louis,45,Top 25
1918,Total Bases,George Burns,Philadelphia,236,Top 25
