Year,Statistic Name,Name(s),Team(s),Statistic Value
1993,Slugging Average,Juan Gonzalez,Texas,0.632
1993,Stolen Bases,Kenny Lofton,Cleveland,70.0
1993,Total Bases,"Ken Griffey, Jr.",Seattle,359.0
1993,Triples,Lance Johnson,Chicago,14.0
1994,Base on Balls,Frank Thomas,Chicago,109.0
1994,Batting Average,Paul O'Neill,New York,0.359
1994,Doubles,Chuck Knoblauch,Minnesota,45.0
1994,Hits,Kenny Lofton,Cleveland,160.0
1994,Home Runs,"Ken Griffey, Jr.",Seattle,40.0
1994,On Base Percentage,Frank Thomas,Chicago,0.494
1994,RBI,Kirby Puckett,Minnesota,112.0
1994,Runs,Frank Thomas,Chicago,106.0
1994,Slugging Average,Frank Thomas,Chicago,0.729
1994,Stolen Bases,Kenny Lofton,Cleveland,60.0
1994,Total Bases,Albert Belle,Cleveland,294.0
1994,Triples,Lance Johnson,Chicago,14.0
1995,Base on Balls,Frank Thomas,Chicago,136.0
1995,Batting Average,Edgar Martinez,Seattle,0.356
1995,Doubles,Albert Belle,Cleveland,52.0
1995,Doubles,Edgar Martinez,Seattle,52.0
1995,Hits,Lance Johnson,Chicago,186.0
1995,Home Runs,Albert Belle,Cleveland,50.0
1995,On Base Percentage,Edgar Martinez,Seattle,0.482
1995,RBI,Albert Belle,Cleveland,126.0
1995,RBI,Mo Vaughn,Boston,126.0
1995,Runs,Albert Belle,Cleveland,121.0
1995,Runs,Edgar Martinez,Seattle,121.0
1995,Slugging Average,Albert Belle,Cleveland,0.69
1995,Stolen Bases,Kenny Lofton,Cleveland,54.0
1995,Total Bases,Albert Belle,Cleveland,377.0
1995,Triples,Kenny Lofton,Cleveland,13.0
1996,Base on Balls,Tony Phillips,Chicago,125.0
1996,Batting Average,Alex Rodriguez,Seattle,0.358
1996,Doubles,Alex Rodriguez,Seattle,54.0
1996,Hits,Paul Molitor,Minnesota,225.0
1996,Home Runs,Mark McGwire,Oakland,52.0
1996,On Base Percentage,Mark McGwire,Oakland,0.468
1996,RBI,Albert Belle,Cleveland,148.0
1996,Runs,Alex Rodriguez,Seattle,141.0
1996,Slugging Average,Mark McGwire,Oakland,0.73
1996,Stolen Bases,Kenny Lofton,Cleveland,75.0
1996,Total Bases,Alex Rodriguez,Seattle,379.0
1996,Triples,Chuck Knoblauch,Minnesota,14.0
1997,Base on Balls,Jim Thome,Cleveland,120.0
1997,Batting Average,Frank Thomas,Chicago,0.347
1997,Doubles,John Valentin,Boston,47.0
1997,Hits,Nomar Garciaparra,Boston,209.0
1997,Home Runs,"Ken Griffey, Jr.",Seattle,56.0
1997,On Base Percentage,Frank Thomas,Chicago,0.461
1997,RBI,"Ken Griffey, Jr.",Seattle,147.0
1997,Runs,"Ken Griffey, Jr.",Seattle,125.0
1997,Slugging Average,"Ken Griffey, Jr.",Seattle,0.646
1997,Stolen Bases,Brian Hunter,Detroit,74.0
1997,Total Bases,"Ken Griffey, Jr.",Seattle,393.0
1997,Triples,Nomar Garciaparra,Boston,11.0
1998,Base on Balls,Rickey Henderson,Oakland,118.0
1998,Batting Average,Bernie Williams,New York,0.339
1998,Doubles,Juan Gonzalez,Texas,50.0
1998,Hits,Alex Rodriguez,Seattle,213.0
1998,Home Runs,"Ken Griffey, Jr.",Seattle,56.0
1998,On Base Percentage,Edgar Martinez,Seattle,0.433
1998,RBI,Juan Gonzalez,Texas,157.0
1998,Runs,Derek Jeter,New York,127.0
1998,Slugging Average,Albert Belle,Chicago,0.655
1998,Stolen Bases,Rickey Henderson,Oakland,66.0
1998,Total Bases,Albert Belle,Chicago,399.0
1998,Triples,Jose Offerman,Kansas City,13.0
1999,Base on Balls,Jim Thome,Cleveland,127.0
1999,Batting Average,Nomar Garciaparra,Boston,0.357
1999,Doubles,Shawn Green,Toronto,45.0
1999,Hits,Derek Jeter,New York,219.0
1999,Home Runs,"Ken Griffey, Jr.",Seattle,48.0
1999,On Base Percentage,Edgar Martinez,Seattle,0.447
1999,RBI,Manny Ramirez,Cleveland,165.0
1999,Runs,Roberto Alomar,Cleveland,138.0
1999,Slugging Average,Manny Ramirez,Cleveland,0.663
1999,Stolen Bases,Brian Hunter,Seattle,44.0
1999,Total Bases,Shawn Green,Toronto,361.0
1999,Triples,Jose Offerman,Boston,11.0
2000,Base on Balls,Jason Giambi,Oakland,137.0
2000,Batting Average,Nomar Garciaparra,Boston,0.372
2000,Doubles,Carlos Delgado,Toronto,57.0
2000,Hits,Darin Erstad,Anaheim,240.0
2000,Home Runs,Troy Glaus,Anaheim,47.0
2000,On Base Percentage,Jason Giambi,Oakland,0.476
2000,RBI,Edgar Martinez,Seattle,145.0
2000,Runs,Johnny Damon,Kansas City,136.0
2000,Slugging Average,Manny Ramirez,Cleveland,0.697
2000,Stolen Bases,Johnny Damon,Kansas City,46.0
2000,Total Bases,Carlos Delgado,Toronto,378.0
2000,Triples,Cristian Guzman,Minnesota,20.0
2001,Base on Balls,Jason Giambi,Oakland,129.0
2001,Batting Average,Ichiro Suzuki,Seattle,0.35
2001,Doubles,Jason Giambi,Oakland,47.0
2001,Hits,Ichiro Suzuki,Seattle,242.0
2001,Home Runs,Alex Rodriguez,Texas,52.0
2001,On Base Percentage,Jason Giambi,Oakland,0.477
2001,RBI,Bret Boone,Seattle,141.0
2001,Runs,Alex Rodriguez,Texas,133.0
2001,Slugging Average,Jason Giambi,Oakland,0.66
2001,Stolen Bases,Ichiro Suzuki,Seattle,56.0
2001,Total Bases,Alex Rodriguez,Texas,393.0
2001,Triples,Cristian Guzman,Minnesota,14.0
2002,Base on Balls,Jim Thome,Cleveland,122.0
2002,Batting Average,Manny Ramirez,Boston,0.349
2002,Doubles,Garret Anderson,Anaheim,56.0
2002,Doubles,Nomar Garciaparra,Boston,56.0
2002,Hits,Alfonso Soriano,New York,209.0
2002,Home Runs,Alex Rodriguez,Texas,57.0
2002,On Base Percentage,Manny Ramirez,Boston,0.45
2002,RBI,Alex Rodriguez,Texas,142.0
2002,Runs,Alfonso Soriano,New York,128.0
2002,Slugging Average,Jim Thome,Cleveland,0.677
2002,Stolen Bases,Alfonso Soriano,New York,41.0
2002,Total Bases,Alex Rodriguez,Texas,389.0
2002,Triples,Johnny Damon,Boston,11.0
2003,Base on Balls,Jason Giambi,New York,129.0
2003,Batting Average,Bill Mueller,Boston,0.326
2003,Doubles,Garret Anderson,Anaheim,49.0
2003,Doubles,Vernon Wells,Toronto,49.0
2003,Hits,Vernon Wells,Toronto,215.0
2003,Home Runs,Alex Rodriguez,Texas,47.0
2003,On Base Percentage,Manny Ramirez,Boston,0.427
2003,RBI,Carlos Delgado,Toronto,145.0
2003,Runs,Alex Rodriguez,Texas,124.0
2003,Slugging Average,Alex Rodriguez,Texas,0.6
2003,Stolen Bases,Carl Crawford,Tampa Bay,55.0
2003,Total Bases,Vernon Wells,Toronto,373.0
2003,Triples,Cristian Guzman,Minnesota,14.0
2004,Base on Balls,Eric Chavez,Oakland,95.0
2004,Batting Average,Ichiro Suzuki,Seattle,0.372
2004,Doubles,Brian Roberts,Baltimore,50.0
2004,Hits,Ichiro Suzuki,Seattle,262.0
2004,Home Runs,Manny Ramirez,Boston,43.0
2004,On Base Percentage,Melvin Mora,Baltimore,0.419
2004,RBI,Miguel Tejada,Baltimore,150.0
2004,Runs,Vladimir Guerrero,Anaheim,124.0
2004,Slugging Average,Manny Ramirez,Boston,0.613
2004,Stolen Bases,Carl Crawford,Tampa Bay,59.0
2004,Total Bases,Vladimir Guerrero,Anaheim,366.0
2004,Triples,Carl Crawford,Tampa Bay,19.0
2005,Base on Balls,Jason Giambi,New York,108.0
2005,Batting Average,Michael Young,Texas,0.331
2005,Doubles,Miguel Tejada,Baltimore,50.0
2005,Hits,Michael Young,Texas,221.0
2005,Home Runs,Alex Rodriguez,New York,48.0
2005,On Base Percentage,Jason Giambi,New York,0.44
2005,RBI,David Ortiz,Boston,148.0
2005,Runs,Alex Rodriguez,New York,124.0
2005,Slugging Average,Alex Rodriguez,New York,0.61
2005,Stolen Bases,Chone Figgins,Los Angeles,62.0
2005,Total Bases,Mark Teixeira,Texas,370.0
2005,Triples,Carl Crawford,Tampa Bay,15.0
2006,Base on Balls,David Ortiz,Boston,119.0
2006,Batting Average,Joe Mauer,Minnesota,0.347
2006,Doubles,Grady Sizemore,Cleveland,53.0
2006,Hits,Ichiro Suzuki,Seattle,224.0
2006,Home Runs,David Ortiz,Boston,54.0
2006,On Base Percentage,Manny Ramirez,Boston,0.439
2006,RBI,David Ortiz,Boston,137.0
2006,Runs,Grady Sizemore,Cleveland,134.0
2006,Slugging Average,Travis Hafner,Cleveland,0.659
2006,Stolen Bases,Carl Crawford,Tampa Bay,58.0
2006,Total Bases,David Ortiz,Boston,355.0
2006,Triples,Carl Crawford,Tampa Bay,16.0
2007,Base on Balls,David Ortiz,Boston,111.0
2007,Batting Average,Magglio Ordonez,Detroit,0.363
2007,Doubles,Magglio Ordonez,Detroit,54.0
2007,Hits,Ichiro Suzuki,Seattle,238.0
2007,Home Runs,Alex Rodriguez,New York,54.0
2007,On Base Percentage,David Ortiz,Boston,0.445
2007,RBI,Alex Rodriguez,New York,156.0
2007,Runs,Alex Rodriguez,New York,143.0
2007,Slugging Average,Alex Rodriguez,New York,0.645
2007,Stolen Bases,Carl Crawford,Tampa Bay,50.0
2007,Stolen Bases,Brian Roberts,Baltimore,50.0
2007,Total Bases,Alex Rodriguez,New York,376.0
2007,Triples,Curtis Granderson,Detroit,23.0
2008,Base on Balls,Jack Cust,Oakland,111.0
2008,Batting Average,Joe Mauer,Minnesota,0.33
2008,Doubles,Dustin Pedroia,Boston,54.0
2008,Hits,Dustin Pedroia,Boston,213.0
2008,Hits,Ichiro Suzuki,Seattle,213.0
2008,Home Runs,Miguel Cabrera,Detroit,37.0
2008,On Base Percentage,Milton Bradley,Texas,0.436
2008,RBI,Josh Hamilton,Texas,130.0
2008,Runs,Dustin Pedroia,Boston,118.0
2008,Slugging Average,Alex Rodriguez,New York,0.573
2008,Stolen Bases,Jacoby Ellsbury,Boston,50.0
2008,Total Bases,Josh Hamilton,Texas,331.0
2008,Triples,Curtis Granderson,Detroit,13.0
2008,Complete Games,Roy Halladay,Toronto,9.0
2008,ERA,Cliff Lee,Cleveland,2.54
2008,Games,Matt Guerrier,Minnesota,76.0
2008,Games,Francisco Rodriguez,Los Angeles,76.0
2008,Saves,Francisco Rodriguez,Los Angeles,62.0
2008,Shutouts,Matt Garza,Tampa Bay,2.0
2008,Shutouts,Roy Halladay,Toronto,2.0
2008,Shutouts,Cliff Lee,Cleveland,2.0
2008,Shutouts,Jon Lester,Boston,2.0
2008,Shutouts,Jesse Litsch,Toronto,2.0
2008,Shutouts,C.C. Sabathia,Cleveland,2.0
2008,Shutouts,James Shields,Tampa Bay,2.0
2008,Shutouts,Kevin Slowey,Minnesota,2.0
2008,Strikeouts,A.J. Burnett,Toronto,231.0
2008,Winning Percentage,Cliff Lee,Cleveland,0.88
2008,Wins,Cliff Lee,Cleveland,22.0
2009,Base on Balls,Chone Figgins,Los Angeles,101.0
2009,Batting Average,Joe Mauer,Minnesota,0.365
2009,Doubles,Brian Roberts,Baltimore,56.0
2009,Hits,Ichiro Suzuki,Seattle,225.0
2009,Home Runs,Carlos Pena,Tampa Bay,39.0
2009,Home Runs,Mark Teixeira,New York,39.0
2009,On Base Percentage,Joe Mauer,Minnesota,0.444
2009,RBI,Mark Teixeira,New York,122.0
2009,Runs,DustinPedroia,Boston,115.0
2009,Slugging Average,Joe Mauer,Minnesota,0.587
2009,Stolen Bases,Jacoby Ellsbury,Boston,70.0
2009,Total Bases,Mark Teixeira,New York,344.0
2009,Triples,Jacoby Ellsbury,Boston,10.0
2009,Triples,Denard Span,Minnesota,10.0
2010,Base on Balls,Daric Barton,Oakland,110.0
2010,Batting Average,Josh Hamilton,Texas,0.359
2010,Doubles,Adrian Beltre,Boston,49.0
2010,Hits,Ichiro Suzuki,Seattle,214.0
2010,Home Runs,Jose Bautista,Toronto,54.0
2010,On Base Percentage,Miguel Cabrera,Detroit,0.42
2010,RBI,Miguel Cabrera,Detroit,126.0
2010,Runs,Mark Teixeira,New York,113.0
2010,Slugging Average,Josh Hamilton,Texas,0.633
2010,Stolen Bases,Juan Pierre,Chicago,68.0
2010,Total Bases,Jose Bautista,Toronto,351.0
2010,Triples,Carl Crawford,Tampa Bay,13.0
2011,Base on Balls,Jose Bautista,Toronto,132.0
2011,Batting Average,Miguel Cabrera,Detroit,0.344
2011,Doubles,Miguel Cabrera,Detroit,48.0
2011,Hits,Adrian Gonzalez,Boston,213.0
2011,Hits,Michael Young,Texas,213.0
2011,Home Runs,Jose Bautista,Toronto,43.0
2011,On Base Percentage,Miguel Cabrera,Detroit,0.448
2011,RBI,Curtis Granderson,New York,119.0
2011,Runs,Curtis Granderson,New York,136.0
2011,Slugging Average,Jose Bautista,Toronto,0.608
2011,Stolen Bases,Coco Crisp,Oakland,49.0
2011,Stolen Bases,Brett Gardner,New York,49.0
2011,Total Bases,Jacoby Ellsbury,Boston,364.0
2011,Triples,Peter Bourjos,Los Angeles,11.0
2011,Triples,Austin Jackson,Detroit,11.0
2012,Base on Balls,Adam Dunn,Chicago,105.0
2012,Batting Average,Miguel Cabrera,Detroit,0.33
2012,Doubles,Alex Gordon,Kansas City,51.0
2012,Hits,Derek Jeter,New York,216.0
2012,Home Runs,Miguel Cabrera,Detroit,44.0
2012,On Base Percentage,Joe Mauer,Minnesota,0.416
2012,RBI,Miguel Cabrera,Detroit,139.0
2012,Runs,Mike Trout,Los Angeles,129.0
2012,Slugging Average,Miguel Cabrera,Detroit,0.606
2012,Stolen Bases,Mike Trout,Los Angeles,49.0
2012,Total Bases,Miguel Cabrera,Detroit,377.0
2012,Triples,Austin Jackson,Detroit,10.0
2013,Base on Balls,Mike Trout,Los Angeles,110.0
2013,Batting Average,Miguel Cabrera,Detroit,0.348
2013,Doubles,Manny Machado,Baltimore,51.0
2013,Hits,Adrian Beltre,Texas,199.0
2013,Home Runs,Chris Davis,Baltimore,53.0
2013,On Base Percentage,Miguel Cabrera,Detroit,0.442
2013,RBI,Chris Davis,Baltimore,138.0
2013,Runs,Mike Trout,Los Angeles,109.0
2013,Slugging Average,Miguel Cabrera,Detroit,0.636
2013,Stolen Bases,Jacoby Ellsbury,Boston,52.0
2013,Total Bases,Chris Davis,Baltimore,370.0
2013,Triples,Brett Gardner,New York,10.0
2014,Base on Balls,Carlos Santana,Cleveland,113.0
2014,Batting Average,Jose Altuve,Houston,0.341
2014,Doubles,Miguel Cabrera,Detroit,52.0
2014,Hits,Jose Altuve,Houston,225.0
2014,Home Runs,Nelson Cruz,Baltimore,40.0
2014,On Base Percentage,Victor Martinez,Detroit,0.409
2014,RBI,Mike Trout,Los Angeles,111.0
2014,Runs,Mike Trout,Los Angeles,115.0
2014,Slugging Average,Jose Abreu,Chicago,0.581
2014,Stolen Bases,Jose Altuve,Chicago,56.0
2014,Total Bases,Mike Trout,Los Angeles,338.0
2014,Triples,Michael Bourn,Cleveland,10.0
2014,Triples,Adam Eaton,Chicago,10.0
2015,Base on Balls,Jose Bautista,Toronto,110.0
2015,Batting Average,Miguel Cabrera,Detroit,0.338
2015,Doubles,Michael Brantley,Cleveland,45.0
2015,Hits,Jose Altuve,Houston,200.0
2015,Home Runs,Chris Davis,Baltimore,47.0
2015,On Base Percentage,Miguel Cabrera,Detroit,0.44
2015,RBI,Josh Donaldson,Toronto,123.0
2015,Runs,Josh Donaldson,Toronto,122.0
2015,Slugging Average,Mike Trout,Los Angeles,0.59
2015,Stolen Bases,Jose Altuve,Houston,38.0
2015,Total Bases,Josh Donaldson,Toronto,352.0
2015,Triples,Eddie Rosario,Minnesota,15.0
2016,Base on Balls,Mike Trout,Los Angeles,116.0
2016,Batting Average,Jose Altuve,Houston,0.338
2016,Doubles,David Ortiz,Boston,48.0
2016,Hits,Jose Altuve,Houston,216.0
2016,Home Runs,Mark Trumbo,Baltimore,47.0
2016,On Base Percentage,Mike Trout,Los Angeles,0.441
2016,RBI,Edwin Encarnacion,Toronto,127.0
2016,RBI,David Ortiz,Boston,127.0
2016,Runs,Mike Trout,Los Angeles,123.0
2016,Slugging Average,David Ortiz,Boston,0.62
2016,Stolen Bases,Rajai Davis,Cleveland,43.0
2016,Total Bases,Mookie Betts,Boston,359.0
2016,Triples,Adam Eaton,Chicago,9.0
2017,Base on Balls,Aaron Judge,New York Yankees,127.0
2017,Batting Average,Jose Altuve,Houston Astros,0.346
2017,Doubles,Jose Ramirez,Cleveland Indians,56.0
2017,Hits,Jose Altuve,Houston Astros,204.0
2017,Home Runs,Aaron Judge,New York Yankees,52.0
2017,On Base Percentage,Mike Trout,Los Angeles Angels,0.442
2017,RBI,Nelson Cruz,Seattle Mariners,119.0
2017,Runs,Aaron Judge,New York Yankees,128.0
2017,Slugging Average,Mike Trout,Los Angeles Angels,0.629
2017,Stolen Bases,Whit Merrifield,Kansas City Royals,34.0
2017,Total Bases,Jose Abreu,Chicago White Sox,343.0
2017,Triples,Nick Castellanos,Detroit Tigers,10.0
2018,Base on Balls,Mike Trout,Los Angeles Angels,122.0
2018,Batting Average,Mookie Betts,Boston Red Sox,0.346
2018,Doubles,Alex Bregman,Houston Astros,50.0
2018,Hits,Whit Merrifield,Kansas City Royals,192.0
2018,Home Runs,Khris Davis,Oakland Athletics,48.0
2018,On Base Percentage,Mike Trout,Los Angeles Angels,0.46
2018,RBI,J.D. Martinez,Boston Red Sox,130.0
2018,Runs,Mookie Betts,Boston Red Sox,129.0
2018,Slugging Average,Mookie Betts,Boston Red Sox,0.64
2018,Stolen Bases,Whit Merrifield,Kansas City Royals,45.0
2018,Total Bases,J.D. Martinez,Boston Red Sox,358.0
2018,Triples,Yolmer Sanchez,Chicago White Sox,10.0
2018,Triples,Mallex Smith,Tampa Bay Rays,10.0
2019,Base on Balls,Alex Bregman,Houston Astros,119.0
2019,Batting Average,Tim Anderson,Chicago White Sox,0.335
2019,Doubles,Rafael Devers,Boston Red Sox,54.0
2019,Hits,Whit Merrifield,Kansas City Royals,206.0
2019,Home Runs,Jorge Soler,Kansas City Royals,48.0
2019,On Base Percentage,Mike Trout,Los Angeles Angels,0.438
2019,RBI,Jose Abreu,Chicago White Sox,123.0
2019,Runs,Mookie Betts,Boston Red Sox,135.0
2019,Slugging Average,Mike Trout,Los Angeles Angels,0.645
2019,Stolen Bases,Mallex Smith,Tampa Bay Rays,46.0
2019,Total Bases,Rafael Devers,Boston Red Sox,359.0
2019,Triples,Hunter Dozier,Kansas City Royals,10.0
2019,Triples,Whit Merrifield,Kansas City Royals,10.0
2019,Triples,Adalberto Mondesi,Kansas City Royals,10.0
2020,Base on Balls,Carlos Santana,Cleveland Indians,47.0
2020,Batting Average,DJ LeMahieu,New York Yankees,0.364
2020,Doubles,Cesar Hernandez,Cleveland Indians,20.0
2020,Hits,Jose Abreu,Chicago White Sox,76.0
2020,Home Runs,Luke Voit,New York Yankees,22.0
2020,On Base Percentage,DJ LeMahieu,New York Yankees,0.421
2020,RBI,Jose Abreu,Chicago White Sox,60.0
2020,Runs,Tim Anderson,Chicago White Sox,45.0
2020,Runs,Jose Ramirez,Cleveland Indians,45.0
2020,Slugging Average,Jose Abreu,Chicago White Sox,0.617
2020,Stolen Bases,Adalberto Mondesi,Kansas City Royals,24.0
2020,Total Bases,Jose Abreu,Chicago White Sox,148.0
2020,Triples,Kyle Tucker,Houston Astros,6.0
2021,Base on Balls,Joey Gallo,Texas Rangers,111.0
2021,Base on Balls,Joey Gallo,New York Yankees,111.0
2021,Batting Average,Yuli Gurriel,Houston Astros,0.319
2021,Doubles,Jeimer Candelario,Detroit Tigers,42.0
2021,Doubles,J.D. Martinez,Boston Red Sox,42.0
2021,Doubles,Whit Merrifield,Kansas City Royals,42.0
2021,Hits,Bo Bichette,Toronto Blue Jays,191.0
2021,Home Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,48.0
2021,Home Runs,Salvador Perez,Kansas City Royals,48.0
2021,On Base Percentage,Vladimir Guerrero Jr.,Toronto Blue Jays,0.401
2021,RBI,Salvador Perez,Kansas City Royals,121.0
2021,Runs,Vladimir Guerrero Jr.,Toronto Blue Jays,123.0
2021,Slugging Average,Vladimir Guerrero Jr.,Toronto Blue Jays,0.601
2021,Stolen Bases,Whit Merrifield,Kansas City Royals,40.0
2021,Total Bases,Vladimir Guerrero Jr.,Toronto Blue Jays,363.0
2021,Triples,Shohei Ohtani,Los Angeles Angels,8.0
2022,Base on Balls,Aaron Judge,New York Yankees,111.0
2022,Batting Average,Luis Arraez,Minnesota Twins,0.316
2022,Doubles,José Ramírez,Cleveland Guardians,44.0
2022,Hits,Bo Bichette,Toronto Blue Jays,189.0
2022,Home Runs,Aaron Judge,New York Yankees,62.0
2022,On Base Percentage,Aaron Judge,New York Yankees,0.425
2022,RBI,Aaron Judge,New York Yankees,131.0
2022,Runs,Aaron Judge,New York Yankees,133.0
2022,Slugging Average,Aaron Judge,New York Yankees,0.686
2022,Stolen Bases,Jorge Mateo,Baltimore Orioles,35.0
2022,Total Bases,Aaron Judge,New York Yankees,391.0
2022,Triples,Amed Rosario,Cleveland Guardians,9.0
2023,Base on Balls,J.P. Crawford,Seattle Mariners,94.0
2023,Batting Average,Yandy Díaz,Tampa Bay Rays,0.33
2023,Doubles,Corey Seager,Texas Rangers,42.0
2023,Hits,Marcus Semien,Texas Rangers,185.0
2023,Home Runs,Shohei Ohtani,Los Angeles Angels,44.0
2023,On Base Percentage,Shohei Ohtani,Los Angeles Angels,0.412
2023,RBI,Kyle Tucker,Houston Astros,112.0
2023,Runs,Marcus Semien,Texas Rangers,122.0
2023,Slugging Average,Shohei Ohtani,Los Angeles Angels,0.654
2023,Stolen Bases,Esteury Ruiz,Oakland Athletics,67.0
2023,Total Bases,Shohei Ohtani,Los Angeles Angels,325.0
2023,Triples,Bobby Witt Jr.,Kansas City Royals,11.0
2024,Base on Balls,Aaron Judge,New York,133.0
2024,Batting Average,Bobby Witt Jr.,Kansas City,0.332
2024,Doubles,Jarren Duran,Boston,48.0
2024,Hits,Bobby Witt Jr.,Kansas City,211.0
2024,Home Runs,Aaron Judge,New York,58.0
2024,On Base Percentage,Aaron Judge,New York,0.458
2024,RBI,Aaron Judge,New York,144.0
2024,Runs,Juan Soto,New York,128.0
2024,Slugging Average,Aaron Judge,New York,0.701
2024,Stolen Bases,Jose Caballero,Tampa Bay,44.0
2024,Total Bases,Aaron Judge,New York,392.0
2024,Triples,Jarren Duran,Boston,14.0
